source_id,title,publisher,date,url,source_type,used_for,quality
S1,"First Solar Q1 2026 earnings release, furnished as SEC 8-K Exhibit 99.1",First Solar / SEC,2026-04-30,https://www.sec.gov/Archives/edgar/data/1274494/000127449426000108/ex991pressreleaseq1-2026.htm,company filing,"Q1 revenue, EPS, EBITDA, cash, debt, guidance, backlog",primary
S2,"First Solar Form 10-Q for quarter ended March 31, 2026",SEC,2026-04-30,https://www.sec.gov/Archives/edgar/data/1274494/000127449426000109/fslr-20260331.htm,SEC filing,"Q1 financial statements, capacity and policy-risk wording",primary
S3,First Solar Q1 2026 earnings presentation,First Solar,2026-04-30,https://s202.q4cdn.com/499595574/files/doc_financials/2026/q1/Q1-26-Earnings-Presentation-vf-Secured.pdf,company presentation,"bookings, backlog, guide ranges, capacity, 45X guide, shipment and sales volume",primary
S4,First Solar Form 10-K for fiscal year 2025,SEC,2026-02-24,https://www.sec.gov/Archives/edgar/data/1274494/000127449426000021/fslr-20251231.htm,SEC filing,"FY2023-FY2025 financials, cash flow, operating drivers",primary
S5,"First Solar Q4/FY2025 earnings release, furnished as SEC 8-K Exhibit 99.1",First Solar / SEC,2026-02-24,https://www.sec.gov/Archives/edgar/data/1274494/000127449426000020/ex991pressreleaseq4-2025fi.htm,company filing,"FY2025 results, 2026 guide baseline, year-end backlog",primary
S6,IRS final regulations for Section 45X advanced manufacturing production credit,IRS,2024-12-16,https://www.irs.gov/irb/2024-51_IRB/index.html,official policy,45X credit qualification and solar module components,primary
S7,IRS clean energy provisions of the One Big Beautiful Bill Act,IRS,2025-08-28,https://www.irs.gov/credits-deductions/one-big-beautiful-bill-act-provisions-for-individuals-and-businesses,official policy,post-OBBBA clean-energy-credit constraints and FEOC/PFE monitor,primary
S8,"Commerce final determinations in solar cells from Cambodia, Malaysia, Thailand and Vietnam",U.S. Department of Commerce,2025-04-21,https://www.trade.gov/press-release/us-department-commerce-announces-final-determinations-antidumping-and-countervailing,official trade policy,AD/CVD tariff risk and domestic supply-demand context,primary
S9,BIS Section 232 investigations page,U.S. Bureau of Industry and Security,2026-05-28,https://www.bis.doc.gov/index.php/232,official trade policy,Section 232 polysilicon/derivatives status tracker,primary
S10,USITC Section 337 TOPCon solar cells investigation docket,U.S. International Trade Commission,2026-03-26,https://www.usitc.gov/press_room/news_release/2026/er0326_67276.htm,official litigation/regulatory,patent/import catalyst and policy risk tracker,primary
S11,Yahoo Finance chart API and quote pages,Yahoo Finance,2026-05-28,https://finance.yahoo.com/quote/FSLR,market data,current quote and event-window close-to-close market reactions,market data
S12,StockAnalysis valuation statistics pages,StockAnalysis,2026-05-28,https://stockanalysis.com/stocks/fslr/statistics/,secondary market data,"market cap, EV, peer valuation snapshots",secondary
S13,First Solar 8-K: $1.5B senior unsecured revolving credit facility,SEC,2026-02-19,https://www.sec.gov/Archives/edgar/data/1274494/000127449426000016/fslr-20260213.htm,SEC filing,liquidity and balance-sheet catalyst,primary
S14,USITC sunset reviews: crystalline silicon photovoltaic cells and modules from China and Taiwan,U.S. International Trade Commission,2026-05-27,https://www.usitc.gov/press_room/news_release/2026/er0527_67584.htm,official trade policy,tariff continuation catalyst,primary
