ticker,company,segment,price_usd,market_cap_usd_bn,enterprise_value_usd_bn,pe_ttm,forward_pe,ps_ttm,ev_sales_ttm,ev_ebitda_ttm,source_id,quote_source_id,note,market_cap_company_basis_usd_bn,ev_company_basis_usd_bn,pe_ttm_company_basis,ev_sales_fy2026_mid_company_basis,ev_ebitda_fy2026_mid_company_basis
FSLR,First Solar,"CdTe modules, U.S. manufacturing",297.895,31.89,27.57,19.17,15.43,5.43,5.09,12.13,S12,S11,Secondary market data snapshot; FSLR valuation cross-checks also use company filings and guidance.,32.06,30.06,19.24,5.95,11.13
ENPH,Enphase Energy,microinverters/storage,71.01,9.39,9.07,69.85,34.97,6.71,6.48,50.64,S12,S11,Secondary market data snapshot; FSLR valuation cross-checks also use company filings and guidance.,,,,,
SEDG,SolarEdge Technologies,inverters/optimizer,74.125,4.52,4.32,,123.19,3.49,3.38,,S12,S11,Secondary market data snapshot; FSLR valuation cross-checks also use company filings and guidance.,,,,,
CSIQ,Canadian Solar,modules/projects/storage,19.94,1.36,6.93,,,0.24,1.27,8.14,S12,S11,Secondary market data snapshot; FSLR valuation cross-checks also use company filings and guidance.,,,,,
JKS,JinkoSolar,modules/global manufacturing,22.67,1.19,4.17,,,0.13,0.45,9.52,S12,S11,Secondary market data snapshot; FSLR valuation cross-checks also use company filings and guidance.,,,,,
ARRY,Array Technologies,trackers,9.075,1.4,1.95,,12.05,1.15,1.62,15.63,S12,S11,Secondary market data snapshot; FSLR valuation cross-checks also use company filings and guidance.,,,,,
SHLS,Shoals Technologies,EBOS,12.145,2.04,2.25,60.18,26.17,3.8,4.2,23.96,S12,S11,Secondary market data snapshot; FSLR valuation cross-checks also use company filings and guidance.,,,,,
NXT,Nextpower,trackers/software,134.8,20.26,19.08,35.11,29.09,5.67,5.36,25.85,S12,S11,Secondary market data snapshot; FSLR valuation cross-checks also use company filings and guidance.,,,,,
RUN,Sunrun,residential solar/service,15.39,3.67,17.89,7.19,26.34,1.16,5.63,26.0,S12,S11,Secondary market data snapshot; FSLR valuation cross-checks also use company filings and guidance.,,,,,
